角度,子主题,话术类型,话术模板,宽松填充,备注
房源硬指标,采光格局,数据,{朝向}朝向，{户型}格局，采光通风的基本盘在线。,
价格解析,折扣单价,派生,评估价{参考价}万，起拍{起拍价}万，直接{折扣率}折，折算单价才{单价}万/㎡。,,折扣率=起拍/参考*10；单价=起拍元/建筑面积/1e4
价格解析,保证金门槛,数据,保证金{保证金}万就能参拍，每加价{增价幅度}万，门槛比你想的低。,
价格解析,立省金额,派生,起拍{起拍价}万，对比{参考价}万的{参考价类型}，等于立省{省额}万。,,省额=参考价-起拍价派生
价格解析,差价空间,派生,单价{单价}万/㎡，同小区二手房起码贵两三成，这差价就是利润空间。,
价格解析,二拍提示,数据,起拍{起拍价}万，若本轮流拍，后续轮次起拍价可能更低，盯紧节奏捡大漏。,
价格解析,折扣率法则,固定,法拍捡漏看折扣率，七折以下闭眼研究，八折以上再比比二手。,
价格解析,单价对比,数据,折算下来单价{单价}万/㎡，这个价格在这个地段意味着什么，懂的都懂。,
价格解析,折扣直给,数据,{折扣率}折的起拍价，法拍的价格优势从来不是玄学。,
价格解析,保证金杠杆,数据,保证金{保证金}万就能入场，{起拍价}万的房子，门槛就是这么低。,
价格解析,竞价提醒,固定,起拍价只是入场券，最终成交看竞价，心理价位提前定好。,
价格解析,省额直给,数据,同样的房子，{参考价}万和{起拍价}万之间，差的是{省额}万真金白银。,
地段与配套,地段+配套,数据,坐落：{坐落}，最近地铁{最近地铁距离}米、最近医院{最近医院距离}米，商圈学区配套齐全。,
地段与配套,坐落,数据,坐落：{坐落}，核心地段，配套成熟。,
地段与配套,周边配套,数据,周边{周边配套}，交通、学校、商超一应俱全。,
地段与配套,小区区位,数据,{小区名称}区位优势明显，通勤、生活半径都友好。,
地段与配套,地段逻辑,固定,买房先看地段，地段决定流通性和保值，法拍也一样。,
地段与配套,实测配套,固定,阿里源实测：地铁/学校/医院/公园均在步行范围内，宜居属性拉满。,,仅 ali 源且步行范围(需 地铁/学校/医院/公园 距离全部存在且≤1200米)
地段与配套,配套实测距离,数据,阿里源标了实测距离：最近地铁{最近地铁距离}米、最近公园{最近公园距离}米，配套远近自己判断。,,仅 ali 源，需至少一项 POI 距离
地段与配套,懒人地段,数据,周边{周边配套}，下楼即商场、出门即地铁，懒人友好型地段。,
地段与配套,最近地铁,数据,最近地铁站约{最近地铁距离}米，通勤说走就走。,,仅 ali 源，派生=transportation 各项 distance 取最小
地段与配套,最近学校,数据,最近学校约{最近学校距离}米，娃上学不用愁。,,仅 ali 源，派生=education 各项 distance 取最小
地段与配套,最近医商,数据,最近医院{最近医院距离}米、最近商场{最近商场距离}米，生活医疗都在身边。,,仅 ali 源，派生=medical/shopping 各项 distance 取最小
地段与配套,最近公园,数据,最近公园{最近公园距离}米，周末遛弯好去处。,,仅 ali 源，派生=parks 各项 distance 取最小
地段与配套,通勤视角,数据,最近地铁{最近地铁距离}米，上班族看了会心动，通勤成本直接降。,
地段与配套,医疗视角,数据,最近医院{最近医院距离}米，家里有老人小孩的，这点很加分。,
地段与配套,教育视角,数据,最近学校{最近学校距离}米，接送娃的日常，近一步是一步。,
地段与配套,生活半径,数据,坐落{坐落}，周边生活半径成熟，日子过得方便才是硬道理。,
参拍流程,开拍交保,数据,开拍时间：{开拍时间}，报名截止前交保证金{保证金}万即可。,
参拍流程,三步参拍,固定,参拍三步走——看样、交保、出价，全程线上，不懂我教你。,
参拍流程,提前交保,数据,这套{开拍时间}开拍，提前一天交保，别卡点错失资格。,
参拍流程,按揭提示,固定,法拍可按揭的不在少数，先查法院公告里的付款期限再决定杠杆。,
参拍流程,保证金规则,数据,保证金{保证金}万占坑，中拍抵扣房款，不中拍原路退回。,
参拍流程,新手引导,固定,第一次参拍别慌，关注我，手把手带你走完报名到出价。,
风险提示,权利税费,数据,权利限制：{权利限制}；税费承担：{税费}，务必提前尽调。,
风险提示,专业提醒,固定,法拍流程复杂，建议咨询专业助拍，别盲目下手。,
风险提示,腾空交付,数据,房屋占用/腾空：{腾空交付}，能否即时入住以公告和看样为准。,
风险提示,隐性费用,固定,隐性费用要看清：欠费、物业费、腾退成本，都可能算进总价。,
风险提示,裁定为准,数据,本套权利限制情况：{权利限制}，抵押查封细节以裁定书为准。,
风险提示,排雷三关,固定,捡漏前先排雷：产权、占用、税费三道关，过了再出手。,
风险提示,尽调提醒,固定,参拍前三件事：查产权、看现场、算税费，一件都不能省。,
风险提示,资金提醒,固定,尾款期限短是法拍的常态，资金安排不好，保证金会打水漂。,
风险提示,权利负担,数据,本套{权利限制}，风险点摆在明面上，能接受再出手。,
风险提示,税费明细,数据,税费承担：{税费}，这笔账拍前就要算清楚。,
常见误区,贷款腾空,数据,误区“法拍不能贷款”？多数可按揭；误区“买了不能住”？本套{腾空交付}。,
常见误区,税费口径,固定,税费不清？以法院公告为准，各付各税还是买家承担，公告写明白。,
常见误区,过户疑虑,固定,担心过不了户？产权清晰、裁定齐全，过户和正常二手房没两样。,
常见误区,杠杆误区,数据,误区“必须全款”？看付款期限，{起拍价}万这套杠杆用得好压力小。,,仍需结合公告付款期限
常见误区,纪律提醒,固定,怕被人抬价？设定心理价位，到了就停，纪律比运气重要。,
常见误区,即买即住,数据,本套{腾空交付}，能不能即买即住，视频里说清楚。,
常见误区,捡漏误区,固定,法拍≠稳赚，位置差、瑕疵多的照样流拍，捡漏也要挑房子。,
常见误区,全款误区,固定,别被“必须全款”劝退，不少法拍房可以按揭，公告里写得明明白白。,
常见误区,占用误区,数据,误区“法拍房都有人住”？本套{腾空交付}，具体情况以公告为准。,
常见误区,成本误区,固定,别以为起拍价就是全部成本，税费、欠费都要算进总账。,
紧迫感,开拍倒计时,数据,即将开始！{开拍时间}准时开拍，这套{小区名称}错过等下一轮。,
紧迫感,窗口期,数据,{开拍时间}开抢，捡漏窗口就这几天，犹豫就没了。,
紧迫感,限量逻辑,固定,法拍房每轮就一套，看中的别等，等就是留给别人。,
紧迫感,到点预告,数据,{小区名称}共{建筑面积}㎡，{开拍时间}到点开拍，倒计时开始。,
紧迫感,独一无二,数据,{小区名称}这个户型这一轮就这一套，错过就是错过。,
紧迫感,时间压力,数据,距离{开拍时间}开拍越来越近，想参拍现在就该准备了。,
紧迫感,竞争提醒,固定,你看上的房子，别人也在看，出价窗口不会等人。,
紧迫感,价格窗口,数据,起拍{起拍价}万的价格不会一直在，下一轮什么价没人保证。,
行动号召,关注,固定,关注我，带你了解更多法拍房！,
行动号召,资料包,固定,私信/评论区留言，免费发你这套的参拍资料包。,
行动号召,收藏,固定,点赞收藏，下次开拍前翻出来对照，别临场抓瞎。,
行动号召,看详情,固定,点击下方链接，查看实拍图片与详情，先看起来。,
行动号召,点名解析,固定,想看哪套的深度解析，评论区点名，下期就拍它。,
行动号召,提问互动,固定,这套你怎么看？评论区聊聊，帮你分析。,
行动号召,关注引导,固定,新房源第一时间更新，关注不迷路。,
行动号召,收藏提醒,固定,信息量太大记不住？先收藏，参拍前再翻一遍。,
行动号召,私信引导,固定,对这套有想法，私信我，帮你把细节捋一遍。,
行动号召,下期预告,固定,下期带你看同小区的成交对比，关注等更新。,
